product_name,retail_price,discounted_price,overall_rating,category
Cinthol Deo Spray - Dive (Pack of 2) Combo Set,350.0,345.0,5.0,Beauty and Personal Care
JDX Alloy Necklace,1099.0,375.0,5.0,Jewellery
Pinnakle Dual Compartment and Utility Pouch V4 Printed Art Resin Pencil Box,299.0,179.0,5.0,Toys & School Supplies
JDX Alloy Necklace,500.0,378.0,5.0,Jewellery
Adidas Ice Drive and Dynamic Pulse Combo Set,398.0,320.0,4.5,Beauty and Personal Care
ETTI ESJ69_MULTI Glass Necklace,1000.0,199.0,5.0,Jewellery
Anna Andre Paris Red Horizon & Majesty Deodorant Combo Set,530.0,299.0,4.5,Beauty and Personal Care
GoldNera Brass Chain,1017.0,299.0,4.1,Jewellery
Klassik Animal Random Art Card Board Pencil Box,249.0,160.0,5.0,Toys & School Supplies
iBall Wireless N Router,1449.0,969.0,4.2,Computers
Alex's Barbie Series Barbie Doll Art Plastic Pencil Box,799.0,299.0,5.0,Toys & School Supplies
Hi Look Alloy Necklace,695.0,295.0,5.0,Jewellery
JDX Alloy Necklace,1299.0,380.0,5.0,Jewellery
ETTI ESJ72_MULTI Glass Necklace,1200.0,250.0,5.0,Jewellery
www.thepaper.asia Floral Floral Art Canvas Leather Pencil Box,375.0,275.0,5.0,Toys & School Supplies
Netis WF2412,1500.0,695.0,4.2,Computers
Fayon Red chic Alloy Necklace,1200.0,480.0,5.0,Jewellery
Arabian Nights Evolve Combo Set,799.0,398.0,4.5,Beauty and Personal Care
D-Link DWR-111-3G Router with WAN Auto Failure,2310.0,1025.0,4.2,Computers
Adidas Get Ready and Natural Vitality Combo Set,400.0,320.0,4.0,Beauty and Personal Care
Nike Up Or Down Combo Set,500.0,369.0,4.0,Beauty and Personal Care
My Ego Combo Set,555.0,310.0,5.0,Beauty and Personal Care
Hi Look Alloy Necklace,695.0,395.0,5.0,Jewellery
Nike Combo Set,598.0,326.0,4.7,Beauty and Personal Care
Hi Look Alloy Necklace,495.0,396.0,5.0,Jewellery
AOC Pencil Pouch Polka Dots Art Cloth Pencil Box,499.0,299.0,5.0,Toys & School Supplies
Adidas Pure Lightness Combo Set,398.0,325.0,5.0,Beauty and Personal Care
JDX Alloy Necklace,450.0,380.0,5.0,Jewellery
Engage Trail-Blush Combo Set,350.0,310.0,4.0,Beauty and Personal Care
TP-LINK TL-WR702N 150Mbps Wireless N Nano Router,1599.0,949.0,4.2,Computers
JDX Alloy Necklace,620.0,299.0,4.8,Jewellery
iBall 150M eXtreme Wireless-N Router,1399.0,929.0,4.2,Computers
Denver Deodorant No-13 Gift Set  Combo Set,360.0,324.0,5.0,Beauty and Personal Care
Zero Gravity Pack Combo Set,480.0,345.0,4.7,Beauty and Personal Care
JDX Alloy Necklace,599.0,299.0,5.0,Jewellery
Engage Urge-Mate Combo Set,360.0,284.0,4.2,Beauty and Personal Care
Playboy London And Berlin Combo Set,398.0,388.0,5.0,Beauty and Personal Care
"Alex's Mickey Mickey, Donald Duck Art Plastic Pencil Box",799.0,399.0,5.0,Toys & School Supplies
Tenda TE-D820R,1400.0,799.0,5.0,Computers
Engage Combo Set,540.0,450.0,4.3,Beauty and Personal Care
Spinz Combo Set,599.0,354.0,5.0,Beauty and Personal Care
Hi Look Alloy Necklace,695.0,265.0,5.0,Jewellery
JDX Alloy Necklace,450.0,299.0,5.0,Jewellery
Benetton Lets Love lets moov Gift Set  Combo Set,999.0,425.0,4.5,Beauty and Personal Care
ETTI ESJ27_MULTI Crystal Glass Necklace,300.0,99.0,4.3,Jewellery
Indian Charm Glass Necklace,449.0,404.0,5.0,Jewellery
Junk Glass Necklace,359.0,300.0,5.0,Jewellery
Vincent Valentine Paris Set of New Dark & Dark Fire Deodorants Combo Set,360.0,310.0,4.5,Beauty and Personal Care
Hi Look Alloy Necklace,645.0,484.0,5.0,Jewellery
Edimax BR-6228NS V2,1999.0,890.0,4.5,Computers
Klassik Animal Random Art Card Board Pencil Box,249.0,180.0,5.0,Toys & School Supplies
Alex's Super Fine Series Ben Ten Art Metal Pencil Box,499.0,199.0,5.0,Pens & Stationery
Klassik 3D Big Eyes Random Art Cloth Pencil Box,449.0,290.0,4.0,Toys & School Supplies
Anna Andre Paris Floralina & Red Horizon Combo Set,355.0,249.0,4.0,Beauty and Personal Care
Tara Lifestyle Dora Printed Art Plastic Pencil Box,499.0,275.0,5.0,Toys & School Supplies
French Factor Combo Set,360.0,320.0,4.0,Beauty and Personal Care
Hi Look Alloy Necklace,245.0,215.0,5.0,Jewellery
ETTI ESJ86_MULTI Glass Necklace,1200.0,250.0,5.0,Jewellery
Adidas Ice Dive Combo Set,398.0,290.0,4.4,Beauty and Personal Care
Outshiny Eagle Printed Art Polyester Pencil Box,199.0,149.0,5.0,Toys & School Supplies
Nike Combo Set,598.0,399.0,4.5,Beauty and Personal Care
Anna Andre Paris Red Horizon deodorant Combo Set,525.0,299.0,5.0,Beauty and Personal Care
Pinnakle Dual Compartment Utility Pouch V2 Solid Art Polyester Pencil Box,299.0,149.0,4.0,Toys & School Supplies
Zeva Keepz U On Gift Set  Combo Set,130.0,99.0,5.0,Beauty and Personal Care
Tenda TE-D151 N150 Wireless ADSL2+ Modem Router,2800.0,1105.0,4.8,Computers
Wi-Bridge APW40-01,2399.0,600.0,4.1,Computers
Outshiny Dual Compartment Printed Art Polyester Pencil Box,299.0,249.0,5.0,Toys & School Supplies
French Factor Man of the Year Deodorant Gift Set  Combo Set,360.0,340.0,4.5,Beauty and Personal Care
Tenda W268R,1500.0,1030.0,5.0,Computers
Outshiny Dual Compartment Printed Art Polyester Pencil Box,299.0,249.0,4.3,Toys & School Supplies
Adidas Champions League and Dynamic Pulse Combo Set,398.0,272.0,5.0,Beauty and Personal Care
Playboy New York Combo Set,398.0,388.0,5.0,Beauty and Personal Care
Nike N5th Element Combo Set,500.0,400.0,5.0,Beauty and Personal Care
"Dress Villa Acrylic, Alloy Necklace",899.0,449.0,5.0,Jewellery
Hi Look Alloy Necklace,395.0,265.0,4.5,Jewellery
Klassik Girly Random Art Cloth Pencil Box,449.0,390.0,5.0,Toys & School Supplies
"Indian Charm Glass, Metal Necklace",499.0,449.0,5.0,Jewellery
Jewellerywale Alloy Necklace,2300.0,449.0,5.0,Jewellery
D-Link DSL-2520U,1449.0,800.0,4.1,Computers
Kamasutra Combo Set,380.0,349.0,5.0,Beauty and Personal Care
JDX Alloy Necklace,599.0,299.0,4.9,Jewellery
Beverly Hills Polo Club Combo Set,380.0,360.0,4.0,Beauty and Personal Care
JDX Alloy Necklace,650.0,350.0,5.0,Jewellery
D-Link DIR-600 N150 Wireless Router,2450.0,999.0,4.1,Computers
D-Link DIR-600L,2730.0,1079.0,4.2,Computers
Spinz Combo Set,499.0,249.0,5.0,Beauty and Personal Care
Jewels Guru Alloy Necklace,999.0,323.0,5.0,Jewellery
French Factor Combo Set,360.0,310.0,5.0,Beauty and Personal Care
Playboy London And New York Combo Set,398.0,388.0,4.0,Beauty and Personal Care
Nike Orange Combo Set,500.0,350.0,4.0,Beauty and Personal Care
Armaf Vanity Femme Pink Combo Set,500.0,389.0,5.0,Beauty and Personal Care
Nike Combo Set,598.0,326.0,4.3,Beauty and Personal Care
JDX Brass Necklace,1099.0,499.0,5.0,Jewellery
totalcare Expert METAL & GLASS SHINER Car Washer,288.0,288.0,4.0,Automotive
INDIANO Flip Flops,799.0,399.0,5.0,Footwear
FCS Suzuki Metal Key Chain,299.0,138.0,4.6,Pens & Stationery
Milton School 750 ml Water Bottle,184.0,175.0,5.0,Kitchen & Dining
Elligator Women Sports Sandals,499.0,479.0,5.0,Footwear
Revine Men's Printed Casual Shirt,1299.0,849.0,5.0,Clothing
WROGN Men's Solid Casual Shirt,1999.0,999.0,5.0,Clothing
GKI Euro Star Table Tennis Racquet,1520.0,1089.0,4.1,Sports & Fitness
Dhhan 8 watt Rechargeable Emergency Lights,899.0,299.0,5.0,Home & Kitchen
"JBN Creation Girl's Kurti, Legging and Dupatta Set",1499.0,599.0,5.0,Clothing
Blessed Ring Basket Plant Container Set,800.0,499.0,5.0,Tools & Hardware
Cenizas Casual Printed Women's Kurti,999.0,625.0,5.0,Clothing
Natures Plus IMG_0004 Plant Container Set,390.0,390.0,5.0,Tools & Hardware
Blessed Jaali Basket Plant Container Set,750.0,399.0,5.0,Tools & Hardware
Easy Gardening 10 Inch Nursery Plant Container Set,1500.0,999.0,4.0,Tools & Hardware
Beverly Hills Polo Club Solid Women's Tunic,1299.0,899.0,5.0,Clothing
Dolphin Miles Women Wedges,525.0,349.0,5.0,Footwear
Go Hooked Basket Plant Container Set,700.0,700.0,4.0,Tools & Hardware
Dolphin Miles Women Wedges,495.0,345.0,4.0,Footwear
Green Girgit Plant Container Set,500.0,350.0,4.0,Tools & Hardware
Go Hooked Mini Table Plant Container Set,750.0,750.0,5.0,Tools & Hardware
Natures Plus Home Garden Plant Container Set,300.0,300.0,5.0,Tools & Hardware
Joy Living Garden Plant Container Set,300.0,300.0,5.0,Tools & Hardware
"Fastrack ND9912PP11J Teevirus Analog Watch  - For Men, Women",750.0,750.0,5.0,Watches
Sonata 8015YL01 Analog Watch  - For Women,950.0,950.0,4.5,Watches
Sonata 7086SL04 Tech 1 Analog Watch  - For Men,998.0,998.0,4.2,Watches
Sonata Everyday Analog Watch - For Men,1095.0,1095.0,4.3,Watches
Maxima 07011LCGC Attivo Analog Watch  - For Men,950.0,950.0,4.5,Watches
Fastrack 9913PP05 Tees Analog Watch  - For Men,750.0,750.0,4.7,Watches
Nexus NX_7587 Analog Watch  - For Women,999.0,999.0,5.0,Watches
Sonata 8959YL01 Yuva Gold Analog Watch  - For Women,780.0,780.0,4.1,Watches
HMT B0341 HQ Analog Watch  - For Women,595.0,595.0,4.3,Watches
Maxima 24990LMLI Swarovski Analog Watch  - For Women,950.0,760.0,4.2,Watches
Sonata 2160YL06 Economy Analog Watch  - For Women,749.0,749.0,4.0,Watches
Maxima 17321CMLY Gold Analog Watch  - For Women,695.0,675.0,4.5,Watches
Global Nomad GNLBBL0314 Analog Watch  - For Men,725.0,725.0,4.0,Watches
Agricart African Marigold Vanilla F1- White Seed,150.0,150.0,5.0,Home Improvement
Sonata 7007YL09 Essentials Analog Watch  - For Men,899.0,899.0,4.7,Watches
Maxima 21101BMLY Gold Analog Watch  - For Women,1075.0,965.0,4.3,Watches
Fastrack 9770PL01 Sport Analog Watch  - For Women,995.0,995.0,4.2,Watches
Joy Living Garden Plant Container Set,750.0,750.0,4.5,Tools & Hardware
Maxima 22381BMLY Gold Analog Watch  - For Women,1175.0,1060.0,4.8,Watches
Fastrack 9298PV06 Beach Analog Watch  - For Men,995.0,995.0,5.0,Watches
Sonata 77018PL01 Watch,799.0,799.0,4.0,Watches
Maxima 20981LMGI Attivo Analog Watch  - For Men,995.0,895.0,5.0,Watches
Maxima 24742LMGY Gold Analog Watch  - For Men,950.0,950.0,4.5,Watches
Timewel 1100-N498 Analog Watch  - For Men,995.0,995.0,4.0,Watches
Maxima 26092PMGB Attivo Analog Watch  - For Men,675.0,675.0,4.0,Watches
Maxima 24460CMGI Attivo Analog Watch  - For Men,850.0,825.0,4.2,Watches
"Noise NOSWW001 Analog Watch  - For Men, Women",999.0,999.0,4.0,Watches
SF by Sonata 7991PP02 Ocean Digital Watch  - For Men,999.0,999.0,4.8,Watches
Maxima 06362CMGY Gold Analog Watch  - For Men,1075.0,995.0,5.0,Watches
"Fastrack ND9915PP05J Teevirus Analog Watch  - For Women, Men",749.0,749.0,4.1,Watches
Sonata 8925YL02 Analog Watch  - For Women,599.0,599.0,4.4,Watches
"Fastrack 9914PP05 Tees Analog Watch  - For Women, Men",650.0,650.0,4.0,Watches
Maxima 28393LMLI Attivo Analog Watch  - For Women,850.0,774.0,4.5,Watches
Maxima 20183CMGI Attivo Analog Watch  - For Men,950.0,865.0,4.0,Watches
Fastrack 9333PP04 Analog Watch  - For Men,895.0,895.0,5.0,Watches
Sonata 7093SL02 Yuva Analog Watch  - For Men,899.0,899.0,4.1,Watches
Sonata 8013YL02 Analog Watch  - For Women,950.0,950.0,4.5,Watches
Sonata 7007YL07 Analog Watch  - For Men,899.0,899.0,5.0,Watches
NE Shoes Women Wedges,999.0,499.0,5.0,Footwear
